line name;message index;ability;line01;line02;line03;line04
M_1_dégâts;1;Dégâts;Bonjour, beau guerrier ~;"Wow, tu me vois ""enchanté"" de te parler :)";Ah ouais ! Belle armure :);Tu serais pas gogo dancer dans une taverne ? :)/n
M_1_défense;1;Défense;STFU nOOb;Direct, je te bloque toi;Ah mais tu domptes plein de monstre !;Je suis timide ></n
M_1_soinsDrain;1;Soins / Drain;Je suis pas du genre à me faire dompter.;On m'a toujours dit de me méfier des humains.;Attention, je suis du genre toxique ptdr;Personne ne m'a jamais dompté./n
M_1_break;1;Break;Tu te bats aussi vite que t'écris des textos ?;Je te laisse sans voix hein :);Va pas trop vite, sinon je vais m'enfuir…;Pff, tous les mêmes --'/n
M_1_drain;1;Drain;Wow ce flow ! Je te jalouse pas mal :);Joli hors-d'œuvre… oups :p;T'es à croquer toi :p;Tu m'excuses, petit creux x))/n
M_1_paralysie;1;Paralysie;Je te fais froid dans le dos hein :p;Montre pas tout ton potentiel tout de suite :);Gâche pas toutes tes chances dès le début !;J'aime parler en premier :)/n
M_1_charme;1;Charme;Ne sois pas trop pressé lol;Tendu ? N'écris pas tout de suite…;Tu veux déjà me faire du charme ?;Tu penses me dompter facilement ahah/n
M_1_toucherDivin;1;Toucher Divin;Si tu m'y autorises, j'aimerais bien me présenter à toi :) Tout d'abord, sache que je ne suis qu'un humble dompteur, ne désirant que te dompter. Tu es typiquement le genre de monstre qui sait me plaire, et me toucher au plus profond de mon… armure. J'espère que notre conversation sera à la hauteur de ton style :);Il était une fois un dompteur charmant qui, par le plus heureux des hasards, swipa par mégarde à droite. Matchant avec une créature… particulièrement enviable, il décida de lui envoyer un premier message, long et raffiné, lui promettant de le dompter d'ici la fin de leur formidable conversation... Bien entendu, le dompteur n'irait pas de main morte, et n'hésiterait pas à se montrer physique si le monstre se montrerait résistant :) ~;Enchanté et toi, bientôt dompté… Ne te fais pas trop d'illusions, tu n'es qu'un monstre parmi d'autres, qui ne saurait me résister :) Je ne veux pas te sous-estimer mais je ne vais pas te mentir, ton physique est aussi terrifiant que le duvet d'une licorne ! Bref, ne m'en veut pas trop d'être taquin ahah;"Avant que nous entamions notre… intense conversation plus en détail, je souhaiterais te donner quelques infos qui pourraient t'être utiles :) J'aime beaucoup les créatures un peu ""têtues"", qui savent se montrer un peu taquines lorsque je montre mon côté dompteur... Donc n'hésite surtout pas à faire de ton mieux pour blesser mon ego <3 ~/n"
M_1_windstorm;1;Coup de vent;Je vais décider de ce que tu vas dire, OK ?;Changeons un peu tes habitudes, veux-tu :);Tu sembles un peu trop sûr de toi --';Quelle idée de préparer ses messages en avance…/n
M_1_atkCharge;1;ATK chargée;Imagine, je te dompte… Non, je rigole ! Mais imagine quand même….;T'aimes les trébuchets ? Parce qu'avec toi, je me projette loin, très loin :);C'est quoi tes kinks ? Perso, j'adore les baignes dans la gueule et les coups de plastron :);On ferait un joli couple : moi beuglant de douleur pendant que tu me pourfends ~/n
