line01;line02;line03;line04
Imagine, je te dompte… Non, je rigole ! Mais imagine quand même….;T'aimes les trébuchets ? Parce qu'avec toi, je me projette loin, très loin :);C'est quoi tes kinks ? Perso, j'adore les baignes dans la gueule et les coups de plastron :);On ferait un joli couple : moi beuglant de douleur pendant que tu me pourfends ~/n
Je suis désolé d'avoir été si dur avec toi… C'est que… Je suis plutôt à prendre le dessus tu vois ~;"Je suis pas beauf mais tu sais ce qu'on dit : ""Dompteur qui rit, à moitié dans mon nid"" lol";Tu seras la choppe et moi la bière. À deux, on domptera l'univers tout entier <3;Tu connais mon rêve ? Bâtir un donjon entier rien que pour torturer… Toi… Et moi ~/n
Je n'ai pas de cœur, mais avec toi, j'ai l'impression de faire une crise cardiaque <3;Je préférais l'époque du tour-par-tour, on pouvait prendre le temps de ressentir chaque attaque :);L'homme descend du singe…. Et j'aimerais énormément être à sa place ehe :3;Dès qu'on pourra sortir, j'aimerais bien qu'on se retrouve autour d'une potion pour parler ~/n
Je n'aurais jamais cru rencontrer le dompteur de ma vie sur cette application !;Quelle puissance dans tes messages ! Tu n'es pas du genre à rigoler à ce que je vois :);Tu penses pouvoir arriver à libérer tout mon potentiel ? Parce qu'il est énorme tu sais :);J'ai des origines de Helheim, je suis habitué au grand froid, mais pas aux grands chauds :)/n
Tu sais t'y prendre avec les monstres, certes, mais seras-tu t'y prendre avec moi ? ~;Et si je prenais le dessus sur toi ? Juste une fois, pour voir… stp :D;Mmmmh… Roses are red, violets are blue, wherever you are I will stalk you :);Tu as beau me parler, tu n'es pas parfait. La dernière chose qu'il te manque ? Moi./n
Tu te bats aussi vite que t'écris des textos ?;Je te laisse sans voix hein :);Va pas trop vite, sinon je vais m'enfuir…;Pff, tous les mêmes --'/n
Je te prête une main pour écrire ?;T là ?;T'es textuellement précoce, toi xD;J'ai fait exploser ton tél ? Mdr./n
Je suis sûr que tu parles à un autre…;Je t'ai fait peur ? ^^';R2POND STP;Tu t'es fait tué ? Ou bouffé ?/n
Si je t'appelle, il y aura de l'echo ptdr;T'es pas pressé de me dompté xD;T'as du mal à écrire avec tes gants de fer ?;Tu me fais peur à pas répondre ^^'/n
Bah alors ?;Y'a qqun ? X);Je vais te surnommer Kestufou;Tu préfères qu'on parle sur Snapshark ?/n
Ne sois pas trop pressé lol;Tendu ? N'écris pas tout de suite…;Tu veux déjà me faire du charme ?;Tu penses me dompter facilement ahah/n
Ton dernier message me suffit ahah;T'es bg mais tes messages ok;Lâche ton tél 5 minutes ;Relou avec tes messages, profite de… moi :3/n
Tu veux encore parler ? À tes risques…;Dompte-moi sans écrire stp;Je te préfère en silence x);Je peux couper le son mais pas tes notifs :c/n
Moins t'écris, plus t'es sexy <3;J'aime bien les dompteurs silencieux :);Ce ne sont pas tes messages qui me touchent :);Le silence entre tes messages est magique :p/n
T'arrêteras de m'écrire une fois dompté ~;Tu n'as plus les mots pour ce que tu ressens ?;Tu ne sais plus ce que tu racontes <3;Mignon quand tu te tais :) <3/n
Je vais décider de ce que tu vas dire, OK ?;Changeons un peu tes habitudes, veux-tu :);Tu sembles un peu trop sûr de toi --';Quelle idée de préparer ses messages en avance…/n
Je te trouve bien arrogant pour un humain ahah;Tu vas te calmer oui ? x));Parle à ta main, on dirait qu'elle a changé.;Je te préfère avec ces capacités :')/n
"""Look at me. I'm the Dompteur now"" Xd";Un changement ? Ça fait beaucoup là non ? ;Je ne suis pas n'importe quel montre moi !;Un coup de stress : vérifie un peu ta main :)/n
Fais attention à ce que tu dis, t'en perds tes mots lol;Je te fous pas de vent, je change ta main :);T'as un poil dans la main ? Je l'ai changé du coup;Tu veux en venir au main, mais elle n'est plus la même/n
Tu n'es pas bien résistant !;Tu écris vraiment avec tes mains ? X);Je te donne un coup de main, en la modifiant :p;"Je te donne de nouvelles capas en ""main"" propre :p/n"
STFU nOOb;Direct, je te bloque toi;Ah mais tu domptes plein de monstre !;Je suis timide ></n
À d'autres.;T lourd;T fake toi;Merde mon tél bug/n
Mange tes morts;C'est son pote qui écrit en fait;T'es banal de fou;Je te répondrai plus tard/n
Tes messages sont aussi insipide que toi x);Ok. Parle à ma palme;Je supp ton prochain message.;Arrête de me spam là pff../n
Répéte sans pleurer ?;Je décide si je lis tes message ou pas.;Je vois 0 différence avec mon dernier match.;Tu m'endors./n
Bonjour, beau guerrier ~;"Wow, tu me vois ""enchanté"" de te parler :)";Ah ouais ! Belle armure :);Tu serais pas gogo dancer dans une taverne ? :)/n
Je peux sentir tes muscles à travers mon écran <3;J'espère être le monstre qui te charmera…;Tu es terriblement héro(t)ique :p;Ce serait trop bien de se battre :0/n
Tes biceps sont des joyaux, et toi une couronne;Juste : <3;Je veux te faire des massages eheh;Envoie une photo stp :3/n
Si on se voit, tu me prêteras ton casque ?;Tu vaux bien Camelot tout entier :);Je me demande ce que ça fait de te mordre :);T'es du genre à prendre le dessus ?:)/n
Je t'embrasserai bien avec mes langues :);J'aime le style Prince Charmant que tu as :);Tu dois avoir de sacrées balafres Oo;Ce côté bourru me plaît beaucoup <3/n
Wow ce flow ! Je te jalouse pas mal :);Joli hors-d'œuvre… oups :p;T'es à croquer toi :p;Tu m'excuses, petit creux x))/n
Tu t'es déjà fait vampiriser ? ;Mon baiser à un goût…. Fantastique :);Tu sembles plutôt tendre sous ton armure ~;Ow, je devrai faire ça plus souvent ~/n
Sucré ou salé ?.... Salé.;Si je t'embrasse, tu deviens une grenouille ?;Je ne suis pas un vampire mais….;Embrasse-moi, grand fou <3/n
Ta force est… très inspirante :3;Nomnomnom uwu;J'ai mis du rouge à lèvres… Rien que pour toi :);C'est pas si douloureux tkt/n
Tu aimes les suçons ? :);Tu es le meilleur humain que j'ai croisé 0:);Je ne te bouffe pas que du regard :);Je ne peux plus me passer de t'embrasser…/n
Je te fais froid dans le dos hein :p;Montre pas tout ton potentiel tout de suite :);Gâche pas toutes tes chances dès le début !;J'aime parler en premier :)/n
Jolie technique, mais tu vas t'en passer :p;Confisqué ! J'aime te punir :);Je vais te frustrer un peu pour la peine ~;Arrête avec ça, c'est vraiment pénible !/n
