line01;line02;line03;line04/n
Imagine, je te dompte… Non, je rigole ! Mais imagine quand même….;T'aimes les trébuchets ? Parce qu'avec toi, je me projette loin, très loin :);C'est quoi tes kinks ? Perso, j'adore les baignes dans la gueule et les coups de plastron :);On ferait un joli couple : moi beuglant de douleur pendant que tu me pourfends ~/n
Je suis désolé d'avoir été si dur avec toi… C'est que… Je suis plutôt à prendre le dessus tu vois ~;"Je suis pas beauf mais tu sais ce qu'on dit : ""Dompteur qui rit, à moitié dans mon nid"" lol";Tu seras la choppe et moi la bière. À deux, on domptera l'univers tout entier <3;Tu connais mon rêve ? Bâtir un donjon entier rien que pour torturer… Toi… Et moi ~/n
Je n'ai pas de cœur, mais avec toi, j'ai l'impression de faire une crise cardiaque <3;Je préférais l'époque du tour-par-tour, on pouvait prendre le temps de ressentir chaque attaque :);L'homme descend du singe…. Et j'aimerais énormément être à sa place ehe :3;Dès qu'on pourra sortir, j'aimerais bien qu'on se retrouve autour d'une potion pour parler ~/n
Je n'aurais jamais cru rencontrer le dompteur de ma vie sur cette application !;Quelle puissance dans tes messages ! Tu n'es pas du genre à rigoler à ce que je vois :);Tu penses pouvoir arriver à libérer tout mon potentiel ? Parce qu'il est énorme tu sais :);J'ai des origines de Helheim, je suis habitué au grand froid, mais pas aux grands chauds :)/n
Tu sais t'y prendre avec les monstres, certes, mais seras-tu t'y prendre avec moi ? ~;Et si je prenais le dessus sur toi ? Juste une fois, pour voir… stp :D;Mmmmh… Roses are red, violets are blue, wherever you are I will stalk you :);Tu as beau me parler, tu n'es pas parfait. La dernière chose qu'il te manque ? Moi.
First !;Kowabunga !;Chips lol;Tu crois que je te vois pas écrire ?/n
Tfk ?;?;T'en mets du temps à répondre.;Je crois que t'as plus de réseau./n
T'es là ? \0/;Oh le vent;Tu rédiges un bouquin de sort ou quoi ? ;Je peux faire la discussion seul si tu veux./n
T'es looooooong;Tu fais quoi ? ;T'as trouvé un meilleur aventurier que moi…;Trois petits points, toujours trois petits points…/n
Tu sais plus quoi dire hein ?;T'as plus de réseau dans ton antre ?;T'es pas rapide toi.;Plus d'inspi ?/n
Vous ne parlerez paaaaaas;Permets, j'aimerais t'admirer un peu plus :);Ne te presse pas à écrire tkt;Tu veux vraiment m'écrire maintenant ?/n
Tu parles trop, profite un peu du moment ~;T'as pas besoin de m'écrire pour me plaire<3;Je ne lis pas un traitre mot de tes messages;Je préfère les monstres muets xD/n
"""Vous n'avez aucun pouvoir ici"" mdr";Tes mots ne suffisent plus ~;Ne force pas les messages stp ^^;Pourquoi me spam ? T'es lourd un peu :')/n
Tu es le monstre le moins locace ever x);Arrête de blablater 2 secondes :3;Pardon, tu disais ? Je pensais à… toi ><;Pas la peine de m'écrire, je suis conquis/n
Tu semblais moins charmeur sur ta pp;Je me remets pas de ton dernier message :0;Je suis chamboulé, quel dragueur :);Stoooop, tu me fais rougir ></n
Tu ne le sais pas encore, mais tu es déjà mort.;Je vais te souffler des idées pour me draguer :);Ta puissance, je la balaye d'un coup !;T'as un gabaris de brindille ahah !/n
Besoin de changer d'air ? Je suis là :);Je vais renouveler ta garde-robe ~;Un coup de vent, et tout s'effondre…;Je te perturbe peut-être ? Ehehe/n
Un petit changement ne fera pas de mal :);Prends l'air de temps en temps, ça te détendra;Je te fous pas de vent, je change ta main :);Tends-moi la main, que je la change :)/n
Tu penses que t'es idées peuvent me résister ?;Je te contrôle jusqu'à tes messages !;Tu ne peux rien contre ma toute-puissance !;Pardonne-moi de te forcer la main ! :)/n
Tu n'es pas bien résistant !;Tu n'as jamais vu ça hein ? Je te dompte déjà !;Profite de mon pouvoir et laisse-toi dompter !;Je suis le dompteur ultime ! Reste donc à ta place ~/n
PTDR t ki ?;On se connaît ? ;J'ai même pas envie de t'écrire.;…/n
J'entends pas les rageux.;Ma visière m'empêche de lire tes messages.;Attends, pause stp ^^';Mon tél à plus de batterie, att/n
C'est quoi tes disquettes ? On n'est plus en 540.;C'est marrant, mais je m'en fous.;Je te lis, je te lis plus !;Essaye un peu de me charmer pour voir./n
J'ai connu plus argneux ! ;T'écris réellement là ?;Arrête, tu vas finir par te fatiguer…;Ils sont où les abdos de ta pp ?/n
Mon écran est un bouclier face à tes mots.;La bave du monstre ne m'atteint pas :p;J'ai plus trop envie de te lire;Mon armure arrête aussi les textos tu sais./n
Bonjour, charmante… créature ?;Notre discussion risque d'être mouvementée… :);cc ! ça va ?;Wesh, ça biche ?/n
On se serait pas déjà croisés dans un donjon ? ;J'adore la couleur de tes poils, c'est si… bestial;Mon épée est toute à toi :);Tu es mon meilleur pire ennemi <3/n
Tu craches du feu ? Parce que j'ai chaud !;Tu es le mal incarné :3;On devrait se battre un de ces quatre ^^;Ta barre de vie doit être énorme ! :o/n
Tu es le boss final de ma liste de conquêtes…;"Montre-moi ta ""2e forme"" ~";Avec toi, je me sens… en danger :));Tu fais battre mon cœur sous l'armure ~/n
T'es plus glamour qu'une licorne.;Ne me fais pas les yeux doux, t'en as trop.;Rugis-moi dessus, j'aime ça !;Tu me hérisses le poil :)/n
Tu es un sympathique amuse-gueule :0;Hop… *Sneak 100*;Tu as l'air bien vigoureux… Intéressant ~;Tu marques bien ahah/n
Plus je te parle, plus je me fais plaiz xD;*sirote* oklm ?;Je suis un peu gourmand ehehe;Je bois tes larmes./n
Attends le baiser du prince charmant :);Je t'emprunte un peu de ton charisme :);C'est à moi ça, maintenant :');(T'as rien vu)/n
Ça va mieux maintenant ehe;T'as une chair très appétissante ~;*virtual hug*;Tu me régénères bien, merci eheh/n
C'est beau de faire de don de ta personne !;Quelle fougue ! Ça me renforce :);Je te vole un baiser <3;Tu aimes que je t'embrasses, hein ? :)/n
Je te laisse sur place ? Normal :);Ma PP t'a stun avoue xD;Cloué sur place dès le début mdr;Tu penses faire quoi là ? Ahaha/n
Tu stresses ou c'est moi ? ;J'aime bien t'empêcher d'écrire lol;Je te taquine, mais tu le mérites x);Elle est chiante ta capa. Allez hop !/n
Coup dur pour ta capa;Répète sans miauler ?;Tu vas arrêter de spammer cette capa >:(;Tu la ramènes moins là hein ???/n
